FileName,CPUTime,HeapUsage,GC_TotalPauseTime,ConcurrencyCost,IOWritten,IOWrittenDuration,IORead,IOReadDuration
graph04.als-1708293225.jfr,87.5%,17.4MB,59.3,52.25ms,bytes,ms,bytes,ms
graph05.als-1708293227.jfr,88.8889%,19.9MB,30.2,48.7ms,37bytes,24.5ms,3.2bytes,45.6ms
graph06.als-1708293229.jfr,87.5%,20.1MB,23.8,66.2ms,bytes,ms,91.5bytes,87.4ms
graph07.als-1708293229.jfr,88.8889%,62.6MB,74,120.975ms,34bytes,20.3ms,8.6bytes,32.5ms
graph08.als-1708293229.jfr,87.5%,19.9MB,37.9,44.9333ms,55bytes,53.8ms,31.6bytes,26.8ms
houses.als-1708293229.jfr,75%,19.9MB,38.9,,bytes,ms,1.2bytes,15.8ms
train.als-1708293233.jfr,92.8571%,20MB,56.6,97.9444ms,46bytes,15.8ms,30bytes,21.4ms
trashltl01.als-1708293235.jfr,96.6667%,454.5MB,257.5,62.0571ms,64bytes,47.8ms,60bytes,36.8ms
trashltl02.als-1708293239.jfr,96.7742%,330.8MB,132.1,75.7667ms,128bytes,91.4ms,32.5bytes,47.3ms
trashltl03.als-1708293240.jfr,96.4286%,450.1MB,274.8,50.48ms,bytes,ms,92.3bytes,79.6ms
trashltl04.als-1708293241.jfr,96.7742%,586.8MB,281.4,77.34ms,105bytes,39.6ms,625.5bytes,191.7ms
trashltl05.als-1708293241.jfr,100%,482.4MB,184.1,63.5667ms,2.4bytes,37.8ms,bytes,ms
trashltl06.als-1708293244.jfr,96.6667%,330.6MB,143.8,74.6381ms,58bytes,28.6ms,60bytes,29.1ms
trashltl07.als-1708293244.jfr,97.2973%,455.8MB,230.9,78.4409ms,45.3bytes,67.2ms,353bytes,38.5ms
trashltl08.als-1708293245.jfr,100%,456.4MB,261.5,72.18ms,68bytes,25ms,58.4bytes,72.3ms
trashltl09.als-1708293245.jfr,96.7742%,410.9MB,340.5,67.1667ms,37bytes,29.7ms,31bytes,31.7ms
trashltl10.als-1708293255.jfr,96.5517%,448.4MB,244.8,84.275ms,217bytes,67.5ms,637.1bytes,124.3ms
trashltl11.als-1708293273.jfr,96.6667%,453.5MB,244.8,79.98ms,20bytes,16.3ms,bytes,ms
trashltl12.als-1708293275.jfr,95.8333%,295.8MB,224.2,114.5ms,39.2bytes,42.7ms,2.3bytes,33.5ms
trashltl13.als-1708293278.jfr,96.1538%,448.1MB,265.3,64.12ms,56bytes,54.3ms,1.1bytes,15.1ms
trashltl14.als-1708293278.jfr,97.4359%,975MB,335.83,503.79ms,bytes,ms,248bytes,39.3ms
trashltl15.als-1708293281.jfr,96%,452.7MB,248.7,48.62ms,77bytes,32.5ms,30bytes,19.5ms
trashltl16.als-1708293281.jfr,96.4286%,487.7MB,181.4,63.8833ms,37bytes,10.5ms,31.4bytes,42.7ms
trashltl17.als-1708293284.jfr,96.1538%,455.5MB,273.1,49.9667ms,bytes,ms,bytes,ms
trashltl18.als-1708293287.jfr,96.1538%,443.7MB,217.1,36.2286ms,20bytes,16.7ms,231.1bytes,74.1ms
trashltl19.als-1708293289.jfr,96%,448.1MB,366.8,51.775ms,bytes,ms,bytes,ms
trashltl20.als-1708293293.jfr,95.4545%,452MB,192.3,40.1667ms,68bytes,17.3ms,355bytes,53.5ms
worker.als-1708293307.jfr,90.8636%,457.9MB,76.94,73.0722ms,bytes,ms,10.3bytes,61.9ms
